;Logged EGM-4 Data
;SoftwareVersion=1.05
;Plot	RecNo	Day	Month	Hour	Min	CO2 Ref	mb Ref	mbR Temp	Input A	Input B	Input C	Input D	Input E	Input F	Input G	Input H	ATMP	Probe Type
67	0001	13	02	16	50	00507	00.0	+00.0	0000	000.0	019.2	0000	0000	0000	00	00	1007	01
67	0001	13	02	16	51	00502	00.0	+00.0	0000	000.0	019.2	0000	0000	0000	00	00	1007	01
67	0001	13	02	16	51	00521	00.0	+00.0	0000	000.0	019.3	0000	0000	0000	00	00	1007	01
67	0001	13	02	16	51	00512	00.0	+00.0	0000	000.0	019.3	0000	0000	0000	00	00	1007	01
67	0001	13	02	16	51	00512	00.0	+00.0	0000	000.0	019.3	0000	0000	0000	00	00	1007	01
67	0001	13	02	16	51	00513	00.0	+00.0	0000	000.0	019.3	0000	0000	0000	00	00	1007	01
59	0001	13	02	16	52	00522	00.0	+00.0	0000	000.0	019.3	0000	0000	0000	00	00	1007	01
59	0001	13	02	16	52	00523	00.0	+00.0	0000	000.0	019.3	0000	0000	0000	00	00	1007	01
59	0001	13	02	16	52	00524	00.0	+00.0	0000	000.0	019.3	0000	0000	0000	00	00	1007	01
48	0001	13	02	16	53	00539	00.0	+00.0	0000	000.0	019.3	0000	0000	0000	00	00	1007	01
48	0001	13	02	16	53	00540	00.0	+00.0	0000	000.0	019.4	0000	0000	0000	00	00	1006	01
48	0001	13	02	16	53	00542	00.0	+00.0	0000	000.0	019.4	0000	0000	0000	00	00	1007	01
40	0001	13	02	16	53	00533	00.0	+00.0	0000	000.0	019.4	0000	0000	0000	00	00	1006	01
40	0001	13	02	16	53	00536	00.0	+00.0	0000	000.0	019.4	0000	0000	0000	00	00	1007	01
37	0001	13	02	16	55	00539	00.0	+00.0	0000	000.0	019.4	0000	0000	0000	00	00	1007	01
37	0001	13	02	16	55	00540	00.0	+00.0	0000	000.0	019.4	0000	0000	0000	00	00	1007	01
37	0001	13	02	16	55	00542	00.0	+00.0	0000	000.0	019.4	0000	0000	0000	00	00	1006	01
69	0001	13	02	16	56	00542	00.0	+00.0	0000	000.0	019.3	0000	0000	0000	00	00	1007	01
69	0001	13	02	16	56	00545	00.0	+00.0	0000	000.0	019.3	0000	0000	0000	00	00	1007	01
